name,longitude,latitude
American-Playground,40.7287796,-73.95790625
Amersfort-Park,40.62865494,-73.93901443
Bartel-Pritchard-Square,40.66099958,-73.97986949
Beattie-Square,40.69643082,-73.93454347
Bensonhurst-Park,40.59726657,-74.00082814
Betsy-Head-Memorial-Playground,40.662695,-73.91333633
Brooklyn-Botanic-Garden,40.66811275,-73.96457436
Brower-Park,40.6739368,-73.94319887
Maria-Hernandez-Park,40.70317127,-73.92386495
Bushwick-Playground_Knickerbocker-Ave,40.69607127,-73.91215311
Canarsie-Park,40.62798483,-73.89425305
Carroll-Park,40.68109036,-73.99543263
Commodore-Barry-Park,40.69730107,-73.97892001
Middleton-Playground,40.70068128,-73.95542066
lafayette-playground_stillwell-ave,40.59456407,-73.98536984
Cooper-Park,40.71587948,-73.93732662
Cuyler-Gore-Park,40.68569884,-73.97216964
Veterans-Triangle,40.65690146,-73.90387258
Dyker-Beach-Park,40.61175738,-74.01819188
Eastern-Parkway,40.67088482,-73.95970468
Eastern-Parkway-Extension,40.66891424,-73.92134145
Fidelity-Triangle,40.72186068,-73.9418219
Fort-Greene-Park,40.69150404,-73.97545412
Fort-Hamilton-Triangle,40.61640345,-74.03074893
John-Paul-Jones-Park,40.611084,-74.03385449
Fort-Stirling-Park,40.69847645,-73.99654857
Freedom-Triangle,40.6972413,-73.93181461
Fulton-Park,40.67975264,-73.93288279
Grand-Army-Plaza,40.6740402,-73.96929704
Grant-Gore,40.67648282,-73.95280608
Gravesend-Park,40.62340296,-73.9840818
Greenpoint-Playground,40.73569262,-73.95917891
Dr-Ronald-McNair-Park,40.67052596,-73.9619679
Heisser-Triangle,40.69871156,-73.91790789
Highland-Park,40.68865883,-73.8861146
Brooklyn-Museum,40.67069732,-73.96372978
Irving-Square-Park,40.69245291,-73.90920105
van-voorhees-park,40.69087076,-73.99939574
Kelly-Park-Playground,40.60415213,-73.95766476
Leif-Ericson-Park,40.63080099,-74.01187882
Lincoln-Terrace-Arthur-S-Somers-Park,40.66678955,-73.92718829
Sternberg-Park,40.7062314,-73.947236
martin-luther-king-playground_manhattan,40.80017871,-73.95038413
Marine-Park,40.59206744,-73.92091968
McCarren-Park,40.72148813,-73.9526896
McKinley-Park,40.62673997,-74.01643967
McLaughlin-Park,40.69651562,-73.98606581
Memorial-Gore,40.71484136,-73.94237897
Milestone-Park,40.60952502,-73.99950155
Ocean-Parkway-Malls,40.62175279,-73.9701908
Owls-Head-Park,40.64008962,-74.03236453
Parade-Ground,40.6508881,-73.96832853
Machate-Circle,40.65102597,-73.97218989
Prospect-Park,40.66166595,-73.97076952
Coffey-Park,40.67761935,-74.00851769
Grace-Playground,40.67143242,-73.89444584
Saratoga-Park,40.68498035,-73.91899958
asser-levy-park-and-aquarium,40.5743278,-73.97320631
Shore-Park-and-Parkway,40.61459998,-74.03818945
Metropolitan-Recreation-Center,40.7150238,-73.96031128
Sunset-Park,40.64797599,-74.00374327
Herbert-Von-King-Park,40.6896722,-73.94661996
Lowry-Triangle,40.6806342,-73.96452284
Sobel-Playground,40.70736457,-73.96153403
Weeksville-Playground,40.67715189,-73.91948284
Sgt-Joyce-Kilmer-Triangle,40.60788522,-73.96068726
Ennis-Playground,40.67080793,-73.99378917
Sgt-William-Dougherty-Playground,40.723738,-73.93709645
Sledge-Playground,40.63818875,-73.89779366
Martin-Luther-Playground,40.64578963,-74.01975552
Lt-Joseph-Petrosino-Park,40.61907241,-73.99845337
Seth-Low-Playground-Bealin-Square,40.60822091,-73.98632481
Crispus-Attucks-Playground,40.68155975,-73.95922114
Cypress-Hills-Playground,40.67043786,-73.87170439
Taaffe-Playground,40.69525338,-73.96070346
Scarangella-Park,40.59466557,-73.9843399
Lions-Pride-Playground,40.66264676,-73.89975276
Bill-Brown-Playground,40.59216679,-73.94566271
Marion-Hopkinson-Playground,40.68168586,-73.91357542
j-j-byrne-playground,40.67280581,-73.98417831
